,id,label
10,"('data/Asian/m.026rv0/m.026rv0_0002.jpg', 'data/Asian/m.026rv0/m.026rv0_0003.jpg')","('data/Asian/m.026rv0/m.026rv0_0002.jpg', 'data/Asian/m.026rv0/m.026rv0_0003.jpg')"
11,"('data/Asian/m.05zx8v1/m.05zx8v1_0003.jpg', 'data/Asian/m.05zx8v1/m.05zx8v1_0002.jpg')","('data/Asian/m.05zx8v1/m.05zx8v1_0003.jpg', 'data/Asian/m.05zx8v1/m.05zx8v1_0002.jpg')"
12,"('data/Asian/m.01wnwcx/m.01wnwcx_0001.jpg', 'data/Asian/m.01wnwcx/m.01wnwcx_0002.jpg')","('data/Asian/m.01wnwcx/m.01wnwcx_0001.jpg', 'data/Asian/m.01wnwcx/m.01wnwcx_0002.jpg')"
13,"('data/Asian/m.09gb8c8/m.09gb8c8_0003.jpg', 'data/Asian/m.09gb8c8/m.09gb8c8_0004.jpg')","('data/Asian/m.09gb8c8/m.09gb8c8_0003.jpg', 'data/Asian/m.09gb8c8/m.09gb8c8_0004.jpg')"
14,"('data/Asian/m.02rt52f/m.02rt52f_0006.jpg', 'data/Asian/m.02rt52f/m.02rt52f_0001.jpg')","('data/Asian/m.02rt52f/m.02rt52f_0006.jpg', 'data/Asian/m.02rt52f/m.02rt52f_0001.jpg')"
15,"('data/Asian/m.026m8t9/m.026m8t9_0003.jpg', 'data/Asian/m.026m8t9/m.026m8t9_0001.jpg')","('data/Asian/m.026m8t9/m.026m8t9_0003.jpg', 'data/Asian/m.026m8t9/m.026m8t9_0001.jpg')"
16,"('data/Asian/m.03f0wz3/m.03f0wz3_0003.jpg', 'data/Asian/m.03f0wz3/m.03f0wz3_0002.jpg')","('data/Asian/m.03f0wz3/m.03f0wz3_0003.jpg', 'data/Asian/m.03f0wz3/m.03f0wz3_0002.jpg')"
17,"('data/Asian/m.065y765/m.065y765_0001.jpg', 'data/Asian/m.065y765/m.065y765_0002.jpg')","('data/Asian/m.065y765/m.065y765_0001.jpg', 'data/Asian/m.065y765/m.065y765_0002.jpg')"
18,"('data/Asian/m.03m4xn0/m.03m4xn0_0002.jpg', 'data/Asian/m.03m4xn0/m.03m4xn0_0003.jpg')","('data/Asian/m.03m4xn0/m.03m4xn0_0002.jpg', 'data/Asian/m.03m4xn0/m.03m4xn0_0003.jpg')"
19,"('data/Asian/m.04nzf7/m.04nzf7_0003.jpg', 'data/Asian/m.04nzf7/m.04nzf7_0002.jpg')","('data/Asian/m.04nzf7/m.04nzf7_0003.jpg', 'data/Asian/m.04nzf7/m.04nzf7_0002.jpg')"
20,"('data/Asian/m.02r2rqj/m.02r2rqj_0001.jpg', 'data/Asian/m.02r2rqj/m.02r2rqj_0002.jpg')","('data/Asian/m.02r2rqj/m.02r2rqj_0001.jpg', 'data/Asian/m.02r2rqj/m.02r2rqj_0002.jpg')"
21,"('data/Asian/m.0hn86b7/m.0hn86b7_0001.jpg', 'data/Asian/m.0hn86b7/m.0hn86b7_0002.jpg')","('data/Asian/m.0hn86b7/m.0hn86b7_0001.jpg', 'data/Asian/m.0hn86b7/m.0hn86b7_0002.jpg')"
22,"('data/Asian/m.079px7/m.079px7_0001.jpg', 'data/Asian/m.079px7/m.079px7_0004.jpg')","('data/Asian/m.079px7/m.079px7_0001.jpg', 'data/Asian/m.079px7/m.079px7_0004.jpg')"
23,"('data/Asian/m.0g53y0h/m.0g53y0h_0002.jpg', 'data/Asian/m.0g53y0h/m.0g53y0h_0003.jpg')","('data/Asian/m.0g53y0h/m.0g53y0h_0002.jpg', 'data/Asian/m.0g53y0h/m.0g53y0h_0003.jpg')"
24,"('data/Asian/m.04q2792/m.04q2792_0002.jpg', 'data/Asian/m.04q2792/m.04q2792_0001.jpg')","('data/Asian/m.04q2792/m.04q2792_0002.jpg', 'data/Asian/m.04q2792/m.04q2792_0001.jpg')"
25,"('data/Asian/m.01c_qf/m.01c_qf_0003.jpg', 'data/Asian/m.01c_qf/m.01c_qf_0001.jpg')","('data/Asian/m.01c_qf/m.01c_qf_0003.jpg', 'data/Asian/m.01c_qf/m.01c_qf_0001.jpg')"
26,"('data/Asian/m.04jmt35/m.04jmt35_0003.jpg', 'data/Asian/m.04jmt35/m.04jmt35_0001.jpg')","('data/Asian/m.04jmt35/m.04jmt35_0003.jpg', 'data/Asian/m.04jmt35/m.04jmt35_0001.jpg')"
27,"('data/Asian/m.017hvb/m.017hvb_0001.jpg', 'data/Asian/m.017hvb/m.017hvb_0003.jpg')","('data/Asian/m.017hvb/m.017hvb_0001.jpg', 'data/Asian/m.017hvb/m.017hvb_0003.jpg')"
28,"('data/Asian/m.08lp99/m.08lp99_0003.jpg', 'data/Asian/m.08lp99/m.08lp99_0004.jpg')","('data/Asian/m.08lp99/m.08lp99_0003.jpg', 'data/Asian/m.08lp99/m.08lp99_0004.jpg')"
29,"('data/Asian/m.05kdcj/m.05kdcj_0004.jpg', 'data/Asian/m.05kdcj/m.05kdcj_0002.jpg')","('data/Asian/m.05kdcj/m.05kdcj_0004.jpg', 'data/Asian/m.05kdcj/m.05kdcj_0002.jpg')"
30,"('data/Asian/m.06hx3t/m.06hx3t_0002.jpg', 'data/Asian/m.06hx3t/m.06hx3t_0005.jpg')","('data/Asian/m.06hx3t/m.06hx3t_0002.jpg', 'data/Asian/m.06hx3t/m.06hx3t_0005.jpg')"
31,"('data/Asian/m.04wd3l/m.04wd3l_0005.jpg', 'data/Asian/m.04wd3l/m.04wd3l_0002.jpg')","('data/Asian/m.04wd3l/m.04wd3l_0005.jpg', 'data/Asian/m.04wd3l/m.04wd3l_0002.jpg')"
32,"('data/Asian/m.02pkkkd/m.02pkkkd_0002.jpg', 'data/Asian/m.02pkkkd/m.02pkkkd_0001.jpg')","('data/Asian/m.02pkkkd/m.02pkkkd_0002.jpg', 'data/Asian/m.02pkkkd/m.02pkkkd_0001.jpg')"
33,"('data/Asian/m.0547_x/m.0547_x_0001.jpg', 'data/Asian/m.0547_x/m.0547_x_0003.jpg')","('data/Asian/m.0547_x/m.0547_x_0001.jpg', 'data/Asian/m.0547_x/m.0547_x_0003.jpg')"
34,"('data/Asian/m.0gby520/m.0gby520_0001.jpg', 'data/Asian/m.0gby520/m.0gby520_0002.jpg')","('data/Asian/m.0gby520/m.0gby520_0001.jpg', 'data/Asian/m.0gby520/m.0gby520_0002.jpg')"
35,"('data/Asian/m.0ch4pjd/m.0ch4pjd_0002.jpg', 'data/Asian/m.0ch4pjd/m.0ch4pjd_0003.jpg')","('data/Asian/m.0ch4pjd/m.0ch4pjd_0002.jpg', 'data/Asian/m.0ch4pjd/m.0ch4pjd_0003.jpg')"
36,"('data/Asian/m.0dg8p/m.0dg8p_0002.jpg', 'data/Asian/m.0dg8p/m.0dg8p_0004.jpg')","('data/Asian/m.0dg8p/m.0dg8p_0002.jpg', 'data/Asian/m.0dg8p/m.0dg8p_0004.jpg')"
37,"('data/Asian/m.027xl2v/m.027xl2v_0004.jpg', 'data/Asian/m.027xl2v/m.027xl2v_0001.jpg')","('data/Asian/m.027xl2v/m.027xl2v_0004.jpg', 'data/Asian/m.027xl2v/m.027xl2v_0001.jpg')"
38,"('data/Asian/m.039tg4/m.039tg4_0003.jpg', 'data/Asian/m.039tg4/m.039tg4_0001.jpg')","('data/Asian/m.039tg4/m.039tg4_0003.jpg', 'data/Asian/m.039tg4/m.039tg4_0001.jpg')"
39,"('data/Asian/m.0b76117/m.0b76117_0001.jpg', 'data/Asian/m.0b76117/m.0b76117_0002.jpg')","('data/Asian/m.0b76117/m.0b76117_0001.jpg', 'data/Asian/m.0b76117/m.0b76117_0002.jpg')"
40,"('data/Asian/m.04hyg5/m.04hyg5_0002.jpg', 'data/Asian/m.04hyg5/m.04hyg5_0001.jpg')","('data/Asian/m.04hyg5/m.04hyg5_0002.jpg', 'data/Asian/m.04hyg5/m.04hyg5_0001.jpg')"
41,"('data/Asian/m.0bfwj9/m.0bfwj9_0002.jpg', 'data/Asian/m.0bfwj9/m.0bfwj9_0003.jpg')","('data/Asian/m.0bfwj9/m.0bfwj9_0002.jpg', 'data/Asian/m.0bfwj9/m.0bfwj9_0003.jpg')"
42,"('data/Asian/m.04ybsq/m.04ybsq_0002.jpg', 'data/Asian/m.04ybsq/m.04ybsq_0001.jpg')","('data/Asian/m.04ybsq/m.04ybsq_0002.jpg', 'data/Asian/m.04ybsq/m.04ybsq_0001.jpg')"
43,"('data/Asian/m.0gjd0qd/m.0gjd0qd_0003.jpg', 'data/Asian/m.0gjd0qd/m.0gjd0qd_0002.jpg')","('data/Asian/m.0gjd0qd/m.0gjd0qd_0003.jpg', 'data/Asian/m.0gjd0qd/m.0gjd0qd_0002.jpg')"
44,"('data/Asian/m.0h3p11z/m.0h3p11z_0001.jpg', 'data/Asian/m.0h3p11z/m.0h3p11z_0002.jpg')","('data/Asian/m.0h3p11z/m.0h3p11z_0001.jpg', 'data/Asian/m.0h3p11z/m.0h3p11z_0002.jpg')"
45,"('data/Asian/m.03bkqm/m.03bkqm_0002.jpg', 'data/Asian/m.03bkqm/m.03bkqm_0001.jpg')","('data/Asian/m.03bkqm/m.03bkqm_0002.jpg', 'data/Asian/m.03bkqm/m.03bkqm_0001.jpg')"
46,"('data/Asian/m.02rnxxt/m.02rnxxt_0003.jpg', 'data/Asian/m.02rnxxt/m.02rnxxt_0002.jpg')","('data/Asian/m.02rnxxt/m.02rnxxt_0003.jpg', 'data/Asian/m.02rnxxt/m.02rnxxt_0002.jpg')"
47,"('data/Asian/m.01l4kjz/m.01l4kjz_0003.jpg', 'data/Asian/m.01l4kjz/m.01l4kjz_0001.jpg')","('data/Asian/m.01l4kjz/m.01l4kjz_0003.jpg', 'data/Asian/m.01l4kjz/m.01l4kjz_0001.jpg')"
48,"('data/Asian/m.0g6hv_/m.0g6hv__0001.jpg', 'data/Asian/m.0g6hv_/m.0g6hv__0004.jpg')","('data/Asian/m.0g6hv_/m.0g6hv__0001.jpg', 'data/Asian/m.0g6hv_/m.0g6hv__0004.jpg')"
49,"('data/Asian/m.06254j/m.06254j_0002.jpg', 'data/Asian/m.06254j/m.06254j_0003.jpg')","('data/Asian/m.06254j/m.06254j_0002.jpg', 'data/Asian/m.06254j/m.06254j_0003.jpg')"
50,"('data/Asian/m.03gw36m/m.03gw36m_0003.jpg', 'data/Asian/m.03gw36m/m.03gw36m_0002.jpg')","('data/Asian/m.03gw36m/m.03gw36m_0003.jpg', 'data/Asian/m.03gw36m/m.03gw36m_0002.jpg')"
51,"('data/Asian/m.05nlpv/m.05nlpv_0002.jpg', 'data/Asian/m.05nlpv/m.05nlpv_0003.jpg')","('data/Asian/m.05nlpv/m.05nlpv_0002.jpg', 'data/Asian/m.05nlpv/m.05nlpv_0003.jpg')"
52,"('data/Asian/m.08dyg4/m.08dyg4_0001.jpg', 'data/Asian/m.08dyg4/m.08dyg4_0002.jpg')","('data/Asian/m.08dyg4/m.08dyg4_0001.jpg', 'data/Asian/m.08dyg4/m.08dyg4_0002.jpg')"
53,"('data/Asian/m.07_phr/m.07_phr_0002.jpg', 'data/Asian/m.07_phr/m.07_phr_0003.jpg')","('data/Asian/m.07_phr/m.07_phr_0002.jpg', 'data/Asian/m.07_phr/m.07_phr_0003.jpg')"
54,"('data/Asian/m.04fcyv9/m.04fcyv9_0004.jpg', 'data/Asian/m.04fcyv9/m.04fcyv9_0003.jpg')","('data/Asian/m.04fcyv9/m.04fcyv9_0004.jpg', 'data/Asian/m.04fcyv9/m.04fcyv9_0003.jpg')"
55,"('data/Asian/m.0h3m6cs/m.0h3m6cs_0001.jpg', 'data/Asian/m.0h3m6cs/m.0h3m6cs_0003.jpg')","('data/Asian/m.0h3m6cs/m.0h3m6cs_0001.jpg', 'data/Asian/m.0h3m6cs/m.0h3m6cs_0003.jpg')"
56,"('data/Asian/m.0876zc/m.0876zc_0002.jpg', 'data/Asian/m.0876zc/m.0876zc_0003.jpg')","('data/Asian/m.0876zc/m.0876zc_0002.jpg', 'data/Asian/m.0876zc/m.0876zc_0003.jpg')"
57,"('data/Asian/m.088ysz/m.088ysz_0002.jpg', 'data/Asian/m.088ysz/m.088ysz_0003.jpg')","('data/Asian/m.088ysz/m.088ysz_0002.jpg', 'data/Asian/m.088ysz/m.088ysz_0003.jpg')"
58,"('data/Asian/m.01pnnmj/m.01pnnmj_0003.jpg', 'data/Asian/m.01pnnmj/m.01pnnmj_0002.jpg')","('data/Asian/m.01pnnmj/m.01pnnmj_0003.jpg', 'data/Asian/m.01pnnmj/m.01pnnmj_0002.jpg')"
59,"('data/Asian/m.05m_l9/m.05m_l9_0001.jpg', 'data/Asian/m.05m_l9/m.05m_l9_0002.jpg')","('data/Asian/m.05m_l9/m.05m_l9_0001.jpg', 'data/Asian/m.05m_l9/m.05m_l9_0002.jpg')"
60,"('data/Asian/m.0cnxjv8/m.0cnxjv8_0002.jpg', 'data/Asian/m.0cnxjv8/m.0cnxjv8_0001.jpg')","('data/Asian/m.0cnxjv8/m.0cnxjv8_0002.jpg', 'data/Asian/m.0cnxjv8/m.0cnxjv8_0001.jpg')"
61,"('data/Asian/m.01yzlj/m.01yzlj_0002.jpg', 'data/Asian/m.01yzlj/m.01yzlj_0003.jpg')","('data/Asian/m.01yzlj/m.01yzlj_0002.jpg', 'data/Asian/m.01yzlj/m.01yzlj_0003.jpg')"
62,"('data/Asian/m.02qpxkm/m.02qpxkm_0001.jpg', 'data/Asian/m.02qpxkm/m.02qpxkm_0003.jpg')","('data/Asian/m.02qpxkm/m.02qpxkm_0001.jpg', 'data/Asian/m.02qpxkm/m.02qpxkm_0003.jpg')"
63,"('data/Asian/m.06729_/m.06729__0001.jpg', 'data/Asian/m.06729_/m.06729__0005.jpg')","('data/Asian/m.06729_/m.06729__0001.jpg', 'data/Asian/m.06729_/m.06729__0005.jpg')"
64,"('data/Asian/m.065zr88/m.065zr88_0001.jpg', 'data/Asian/m.065zr88/m.065zr88_0003.jpg')","('data/Asian/m.065zr88/m.065zr88_0001.jpg', 'data/Asian/m.065zr88/m.065zr88_0003.jpg')"
65,"('data/Asian/m.01ztrb/m.01ztrb_0001.jpg', 'data/Asian/m.01ztrb/m.01ztrb_0005.jpg')","('data/Asian/m.01ztrb/m.01ztrb_0001.jpg', 'data/Asian/m.01ztrb/m.01ztrb_0005.jpg')"
66,"('data/Asian/m.05drrn/m.05drrn_0003.jpg', 'data/Asian/m.05drrn/m.05drrn_0001.jpg')","('data/Asian/m.05drrn/m.05drrn_0003.jpg', 'data/Asian/m.05drrn/m.05drrn_0001.jpg')"
67,"('data/Asian/m.02vdt9/m.02vdt9_0001.jpg', 'data/Asian/m.02vdt9/m.02vdt9_0002.jpg')","('data/Asian/m.02vdt9/m.02vdt9_0001.jpg', 'data/Asian/m.02vdt9/m.02vdt9_0002.jpg')"
68,"('data/Asian/m.0b6kywk/m.0b6kywk_0004.jpg', 'data/Asian/m.0b6kywk/m.0b6kywk_0002.jpg')","('data/Asian/m.0b6kywk/m.0b6kywk_0004.jpg', 'data/Asian/m.0b6kywk/m.0b6kywk_0002.jpg')"
69,"('data/Asian/m.09k6wk0/m.09k6wk0_0002.jpg', 'data/Asian/m.09k6wk0/m.09k6wk0_0001.jpg')","('data/Asian/m.09k6wk0/m.09k6wk0_0002.jpg', 'data/Asian/m.09k6wk0/m.09k6wk0_0001.jpg')"
70,"('data/Asian/m.08w22f/m.08w22f_0002.jpg', 'data/Asian/m.08w22f/m.08w22f_0001.jpg')","('data/Asian/m.08w22f/m.08w22f_0002.jpg', 'data/Asian/m.08w22f/m.08w22f_0001.jpg')"
71,"('data/Asian/m.02n177/m.02n177_0001.jpg', 'data/Asian/m.02n177/m.02n177_0002.jpg')","('data/Asian/m.02n177/m.02n177_0001.jpg', 'data/Asian/m.02n177/m.02n177_0002.jpg')"
72,"('data/Asian/m.02w923h/m.02w923h_0002.jpg', 'data/Asian/m.02w923h/m.02w923h_0003.jpg')","('data/Asian/m.02w923h/m.02w923h_0002.jpg', 'data/Asian/m.02w923h/m.02w923h_0003.jpg')"
73,"('data/Asian/m.0w1drk5/m.0w1drk5_0003.jpg', 'data/Asian/m.0w1drk5/m.0w1drk5_0001.jpg')","('data/Asian/m.0w1drk5/m.0w1drk5_0003.jpg', 'data/Asian/m.0w1drk5/m.0w1drk5_0001.jpg')"
74,"('data/Asian/m.06pvrh/m.06pvrh_0002.jpg', 'data/Asian/m.06pvrh/m.06pvrh_0001.jpg')","('data/Asian/m.06pvrh/m.06pvrh_0002.jpg', 'data/Asian/m.06pvrh/m.06pvrh_0001.jpg')"
75,"('data/Asian/m.03hzd3l/m.03hzd3l_0005.jpg', 'data/Asian/m.03hzd3l/m.03hzd3l_0004.jpg')","('data/Asian/m.03hzd3l/m.03hzd3l_0005.jpg', 'data/Asian/m.03hzd3l/m.03hzd3l_0004.jpg')"
76,"('data/Asian/m.0c03p4_/m.0c03p4__0005.jpg', 'data/Asian/m.0c03p4_/m.0c03p4__0002.jpg')","('data/Asian/m.0c03p4_/m.0c03p4__0005.jpg', 'data/Asian/m.0c03p4_/m.0c03p4__0002.jpg')"
77,"('data/Asian/m.0gy__sg/m.0gy__sg_0002.jpg', 'data/Asian/m.0gy__sg/m.0gy__sg_0003.jpg')","('data/Asian/m.0gy__sg/m.0gy__sg_0002.jpg', 'data/Asian/m.0gy__sg/m.0gy__sg_0003.jpg')"
78,"('data/Asian/m.0gwkwd/m.0gwkwd_0001.jpg', 'data/Asian/m.0gwkwd/m.0gwkwd_0002.jpg')","('data/Asian/m.0gwkwd/m.0gwkwd_0001.jpg', 'data/Asian/m.0gwkwd/m.0gwkwd_0002.jpg')"
79,"('data/Asian/m.03q3nq/m.03q3nq_0002.jpg', 'data/Asian/m.03q3nq/m.03q3nq_0001.jpg')","('data/Asian/m.03q3nq/m.03q3nq_0002.jpg', 'data/Asian/m.03q3nq/m.03q3nq_0001.jpg')"
80,"('data/Asian/m.0bx_ks/m.0bx_ks_0001.jpg', 'data/Asian/m.0bx_ks/m.0bx_ks_0003.jpg')","('data/Asian/m.0bx_ks/m.0bx_ks_0001.jpg', 'data/Asian/m.0bx_ks/m.0bx_ks_0003.jpg')"
81,"('data/Asian/m.02w4f0j/m.02w4f0j_0005.jpg', 'data/Asian/m.02w4f0j/m.02w4f0j_0003.jpg')","('data/Asian/m.02w4f0j/m.02w4f0j_0005.jpg', 'data/Asian/m.02w4f0j/m.02w4f0j_0003.jpg')"
82,"('data/Asian/m.02vw6b/m.02vw6b_0001.jpg', 'data/Asian/m.02vw6b/m.02vw6b_0003.jpg')","('data/Asian/m.02vw6b/m.02vw6b_0001.jpg', 'data/Asian/m.02vw6b/m.02vw6b_0003.jpg')"
83,"('data/Asian/m.026dn_s/m.026dn_s_0001.jpg', 'data/Asian/m.026dn_s/m.026dn_s_0002.jpg')","('data/Asian/m.026dn_s/m.026dn_s_0001.jpg', 'data/Asian/m.026dn_s/m.026dn_s_0002.jpg')"
84,"('data/Asian/m.048xvd/m.048xvd_0002.jpg', 'data/Asian/m.048xvd/m.048xvd_0004.jpg')","('data/Asian/m.048xvd/m.048xvd_0002.jpg', 'data/Asian/m.048xvd/m.048xvd_0004.jpg')"
85,"('data/Asian/m.0gx1hbx/m.0gx1hbx_0004.jpg', 'data/Asian/m.0gx1hbx/m.0gx1hbx_0003.jpg')","('data/Asian/m.0gx1hbx/m.0gx1hbx_0004.jpg', 'data/Asian/m.0gx1hbx/m.0gx1hbx_0003.jpg')"
86,"('data/Asian/m.04f_d2d/m.04f_d2d_0001.jpg', 'data/Asian/m.04f_d2d/m.04f_d2d_0003.jpg')","('data/Asian/m.04f_d2d/m.04f_d2d_0001.jpg', 'data/Asian/m.04f_d2d/m.04f_d2d_0003.jpg')"
87,"('data/Asian/m.017hvr/m.017hvr_0001.jpg', 'data/Asian/m.017hvr/m.017hvr_0002.jpg')","('data/Asian/m.017hvr/m.017hvr_0001.jpg', 'data/Asian/m.017hvr/m.017hvr_0002.jpg')"
88,"('data/Asian/m.026xjg/m.026xjg_0002.jpg', 'data/Asian/m.026xjg/m.026xjg_0003.jpg')","('data/Asian/m.026xjg/m.026xjg_0002.jpg', 'data/Asian/m.026xjg/m.026xjg_0003.jpg')"
89,"('data/Asian/m.027dbt3/m.027dbt3_0003.jpg', 'data/Asian/m.027dbt3/m.027dbt3_0004.jpg')","('data/Asian/m.027dbt3/m.027dbt3_0003.jpg', 'data/Asian/m.027dbt3/m.027dbt3_0004.jpg')"
90,"('data/Asian/m.0gvsj40/m.0gvsj40_0001.jpg', 'data/Asian/m.0gvsj40/m.0gvsj40_0002.jpg')","('data/Asian/m.0gvsj40/m.0gvsj40_0001.jpg', 'data/Asian/m.0gvsj40/m.0gvsj40_0002.jpg')"
91,"('data/Asian/m.01g3fb/m.01g3fb_0002.jpg', 'data/Asian/m.01g3fb/m.01g3fb_0004.jpg')","('data/Asian/m.01g3fb/m.01g3fb_0002.jpg', 'data/Asian/m.01g3fb/m.01g3fb_0004.jpg')"
92,"('data/Asian/m.04dvx/m.04dvx_0004.jpg', 'data/Asian/m.04dvx/m.04dvx_0003.jpg')","('data/Asian/m.04dvx/m.04dvx_0004.jpg', 'data/Asian/m.04dvx/m.04dvx_0003.jpg')"
93,"('data/Asian/m.0775f3/m.0775f3_0001.jpg', 'data/Asian/m.0775f3/m.0775f3_0002.jpg')","('data/Asian/m.0775f3/m.0775f3_0001.jpg', 'data/Asian/m.0775f3/m.0775f3_0002.jpg')"
94,"('data/Asian/m.048t9m/m.048t9m_0002.jpg', 'data/Asian/m.048t9m/m.048t9m_0001.jpg')","('data/Asian/m.048t9m/m.048t9m_0002.jpg', 'data/Asian/m.048t9m/m.048t9m_0001.jpg')"
95,"('data/Asian/m.0407cg7/m.0407cg7_0001.jpg', 'data/Asian/m.0407cg7/m.0407cg7_0003.jpg')","('data/Asian/m.0407cg7/m.0407cg7_0001.jpg', 'data/Asian/m.0407cg7/m.0407cg7_0003.jpg')"
96,"('data/Asian/m.02849k7/m.02849k7_0005.jpg', 'data/Asian/m.02849k7/m.02849k7_0002.jpg')","('data/Asian/m.02849k7/m.02849k7_0005.jpg', 'data/Asian/m.02849k7/m.02849k7_0002.jpg')"
97,"('data/Asian/m.0j3d6cn/m.0j3d6cn_0001.jpg', 'data/Asian/m.0j3d6cn/m.0j3d6cn_0002.jpg')","('data/Asian/m.0j3d6cn/m.0j3d6cn_0001.jpg', 'data/Asian/m.0j3d6cn/m.0j3d6cn_0002.jpg')"
98,"('data/Asian/m.0bbv26m/m.0bbv26m_0002.jpg', 'data/Asian/m.0bbv26m/m.0bbv26m_0001.jpg')","('data/Asian/m.0bbv26m/m.0bbv26m_0002.jpg', 'data/Asian/m.0bbv26m/m.0bbv26m_0001.jpg')"
99,"('data/Asian/m.026zvqr/m.026zvqr_0001.jpg', 'data/Asian/m.026zvqr/m.026zvqr_0006.jpg')","('data/Asian/m.026zvqr/m.026zvqr_0001.jpg', 'data/Asian/m.026zvqr/m.026zvqr_0006.jpg')"
100,"('data/Asian/m.02q6c5j/m.02q6c5j_0001.jpg', 'data/Asian/m.02q6c5j/m.02q6c5j_0002.jpg')","('data/Asian/m.02q6c5j/m.02q6c5j_0001.jpg', 'data/Asian/m.02q6c5j/m.02q6c5j_0002.jpg')"
101,"('data/Asian/m.07knjc/m.07knjc_0001.jpg', 'data/Asian/m.07knjc/m.07knjc_0002.jpg')","('data/Asian/m.07knjc/m.07knjc_0001.jpg', 'data/Asian/m.07knjc/m.07knjc_0002.jpg')"
102,"('data/Asian/m.09l_x0/m.09l_x0_0001.jpg', 'data/Asian/m.09l_x0/m.09l_x0_0002.jpg')","('data/Asian/m.09l_x0/m.09l_x0_0001.jpg', 'data/Asian/m.09l_x0/m.09l_x0_0002.jpg')"
103,"('data/Asian/m.04tm5c/m.04tm5c_0001.jpg', 'data/Asian/m.04tm5c/m.04tm5c_0002.jpg')","('data/Asian/m.04tm5c/m.04tm5c_0001.jpg', 'data/Asian/m.04tm5c/m.04tm5c_0002.jpg')"
104,"('data/Asian/m.026lgb1/m.026lgb1_0004.jpg', 'data/Asian/m.026lgb1/m.026lgb1_0001.jpg')","('data/Asian/m.026lgb1/m.026lgb1_0004.jpg', 'data/Asian/m.026lgb1/m.026lgb1_0001.jpg')"
105,"('data/Asian/m.080cwvn/m.080cwvn_0003.jpg', 'data/Asian/m.080cwvn/m.080cwvn_0002.jpg')","('data/Asian/m.080cwvn/m.080cwvn_0003.jpg', 'data/Asian/m.080cwvn/m.080cwvn_0002.jpg')"
106,"('data/Asian/m.02d13t/m.02d13t_0001.jpg', 'data/Asian/m.02d13t/m.02d13t_0003.jpg')","('data/Asian/m.02d13t/m.02d13t_0001.jpg', 'data/Asian/m.02d13t/m.02d13t_0003.jpg')"
107,"('data/Asian/m.02qvzr2/m.02qvzr2_0002.jpg', 'data/Asian/m.02qvzr2/m.02qvzr2_0001.jpg')","('data/Asian/m.02qvzr2/m.02qvzr2_0002.jpg', 'data/Asian/m.02qvzr2/m.02qvzr2_0001.jpg')"
